series_id,series_name,date,value,footnotes,is_outlier,value_suspect,year,quarter
JTS000000000000000HIL,Total nonfarm: hires,2015-01-01,5061,,False,False,2015,1
JTS000000000000000HIL,Total nonfarm: hires,2015-02-01,5127,,False,False,2015,1
JTS000000000000000HIL,Total nonfarm: hires,2015-03-01,5126,,False,False,2015,1
JTS000000000000000HIL,Total nonfarm: hires,2015-04-01,5196,,False,False,2015,2
JTS000000000000000HIL,Total nonfarm: hires,2015-05-01,5142,,False,False,2015,2
JTS000000000000000HIL,Total nonfarm: hires,2015-06-01,5125,,False,False,2015,2
JTS000000000000000HIL,Total nonfarm: hires,2015-07-01,5150,,False,False,2015,3
JTS000000000000000HIL,Total nonfarm: hires,2015-08-01,5163,,False,False,2015,3
JTS000000000000000HIL,Total nonfarm: hires,2015-09-01,5287,,False,False,2015,3
JTS000000000000000HIL,Total nonfarm: hires,2015-10-01,5338,,False,False,2015,4
JTS000000000000000HIL,Total nonfarm: hires,2015-11-01,5358,,False,False,2015,4
JTS000000000000000HIL,Total nonfarm: hires,2015-12-01,5540,,False,False,2015,4
JTS000000000000000HIL,Total nonfarm: hires,2016-01-01,5220,,False,False,2016,1
JTS000000000000000HIL,Total nonfarm: hires,2016-02-01,5470,,False,False,2016,1
JTS000000000000000HIL,Total nonfarm: hires,2016-03-01,5359,,False,False,2016,1
JTS000000000000000HIL,Total nonfarm: hires,2016-04-01,5294,,False,False,2016,2
JTS000000000000000HIL,Total nonfarm: hires,2016-05-01,5197,,False,False,2016,2
JTS000000000000000HIL,Total nonfarm: hires,2016-06-01,5281,,False,False,2016,2
JTS000000000000000HIL,Total nonfarm: hires,2016-07-01,5426,,False,False,2016,3
JTS000000000000000HIL,Total nonfarm: hires,2016-08-01,5327,,False,False,2016,3
JTS000000000000000HIL,Total nonfarm: hires,2016-09-01,5306,,False,False,2016,3
JTS000000000000000HIL,Total nonfarm: hires,2016-10-01,5210,,False,False,2016,4
JTS000000000000000HIL,Total nonfarm: hires,2016-11-01,5308,,False,False,2016,4
JTS000000000000000HIL,Total nonfarm: hires,2016-12-01,5343,,False,False,2016,4
JTS000000000000000HIL,Total nonfarm: hires,2017-01-01,5499,,False,False,2017,1
JTS000000000000000HIL,Total nonfarm: hires,2017-02-01,5350,,False,False,2017,1
JTS000000000000000HIL,Total nonfarm: hires,2017-03-01,5395,,False,False,2017,1
JTS000000000000000HIL,Total nonfarm: hires,2017-04-01,5272,,False,False,2017,2
